date,reality,model_median,model_low,model_high
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,1
2020-03-02,,,,2
2020-03-03,,,,2
2020-03-04,,,,2
2020-03-05,,,,2
2020-03-06,,,,2
2020-03-07,,,,3
2020-03-08,,,,3
2020-03-09,,,,3
2020-03-10,,,,4
2020-03-11,,1,,5
2020-03-12,,1,,5
2020-03-13,,1,,6
2020-03-14,,2,,7
2020-03-15,,3,,8
2020-03-16,,3,,9
2020-03-17,,4,,12
2020-03-18,7,6,,14
2020-03-19,9,7,1,17
2020-03-20,8,9,2,20
2020-03-21,11,11,2,25
2020-03-22,11,13,4,29
2020-03-23,21,19,6,35
2020-03-24,23,22,7,42
2020-03-25,31,27,8,49
2020-03-26,32,30,10,57
2020-03-27,35,34,12,66
2020-03-28,38,39,14,81
2020-03-29,46,44,17,108
2020-03-30,47,51,19,115
2020-03-31,53,61,22,134
2020-04-01,70,73,24,157
2020-04-02,80,82,28,184
2020-04-03,71,89,30,206
2020-04-04,82,99,35,241
2020-04-05,91,113,37,332
2020-04-06,85,130,40,369
2020-04-07,116,143,43,464
2020-04-08,86,156,43,537
2020-04-09,89,171,46,678
2020-04-10,105,191,47,771
2020-04-11,99,208,48,881
2020-04-12,84,227,50,1040
2020-04-13,91,249,52,1264
2020-04-14,119,270,55,1572
2020-04-15,114,299,56,2087
2020-04-16,80,322,57,2227
2020-04-17,84,346,57,2514
2020-04-18,89,377,57,2886
2020-04-19,85,410,56,3316
2020-04-20,62,448,57,4407
2020-04-21,77,479,57,5066
2020-04-22,87,516,59,5903
2020-04-23,89,556,57,7191
2020-04-24,71,600,57,8343
2020-04-25,76,636,57,9230
2020-04-26,71,691,56,11918
2020-04-27,80,749,56,13827
2020-04-28,85,812,54,16841
2020-04-29,77,840,54,19826
2020-04-30,77,925,53,24317
2020-05-01,73,980,51,28892
2020-05-02,73,1076,49,35899
2020-05-03,85,1155,49,43103
2020-05-04,70,1212,48,49635
2020-05-05,73,1291,47,58023
2020-05-06,80,1395,46,72456
2020-05-07,59,1502,47,89172
2020-05-08,68,1623,45,100232
2020-05-09,74,1772,43,116141
2020-05-10,65,1848,43,140097
2020-05-11,60,2041,40,168323
2020-05-12,50,2197,40,191503
2020-05-13,47,2345,39,223219
2020-05-14,58,2501,36,248348
2020-05-15,48,2654,34,277598
2020-05-16,52,2818,34,362248
2020-05-17,62,3076,33,437436
2020-05-18,40,3314,32,501343
2020-05-19,54,3483,31,602128
2020-05-20,54,3768,31,764452
2020-05-21,57,4034,30,849247
2020-05-22,57,4296,30,920843
2020-05-23,45,4623,30,1000000
2020-05-24,42,4941,26,1000000
2020-05-25,28,5258,26,1000000
2020-05-26,39,5696,27,1000000
2020-05-27,39,6043,28,1000000
2020-05-28,41,6461,26,1000000
2020-05-29,40,6971,26,1000000
